frequency,magnitude,phase,complex,label
40761.59829108868,0.24835350315086469,43.27481261375817,(0.18081977191693885+0.17024591804566935j),Loop measured
42528.350458349756,0.2308993882436267,14.9722713490622,(0.223060578046055+0.059653214607771746j),Loop measured
44371.67992756625,0.20795533259906243,3.273012956545213,(0.20761611986613718+0.011872957850360298j),Loop measured
46294.90583046665,0.19221701970424823,-2.838702809619807,(0.19198115248094016-0.009519440953824376j),Loop measured
48301.49116171471,0.21988133924671668,15.87563644687293,(0.21149456291096566+0.06014859273523607j),Loop measured
50395.049014438984,0.15870393310962347,-18.89235982028172,(0.15015432109701457-0.051386946205806805j),Loop measured
52579.34908603243,0.1825805765198733,-6.177415756245668,(0.18152041451180448-0.019647036361548142j),Loop measured
54858.32446593635,0.11398030988430577,-14.71484427273234,(0.11024198098409782-0.028951971781282636j),Loop measured
57236.07871763095,0.12612839251383687,2.984229393058713,(0.12595735009661607+0.006566380644083283j),Loop measured
59716.89326758466,0.13777178173720908,-4.684655858014418,(0.13731152681385686-0.0112520419077005j),Loop measured
62305.23511446628,0.13363764969770742,-16.16530703233114,(0.12835394317913362-0.03720600337438701j),Loop measured
65005.764872502215,0.12133140284001978,-24.28623329218247,(0.11059383172208768-0.04990304299492881j),Loop measured
67823.34516346105,0.10155386262146839,-32.15617592800157,(0.08597555107097643-0.054049899457649306j),Loop measured
70763.04937237661,0.08598923116918446,-30.29477007092628,(0.0742466793460679-0.04337716545775688j),Loop measured
73830.17078277476,0.09156697300907549,-28.69243970418437,(0.0803234206743029-0.043962013571078935j),Loop measured
77030.23210785372,0.07849995060695605,-36.98075994665972,(0.06270870867889412-0.04722139452748223j),Loop measured
80368.99543477963,0.0773865447996405,-39.13460493243296,(0.06002606184282625-0.048842084473003027j),Loop measured
83852.47260000237,0.07577481322929955,-46.15100065879818,(0.05249377248824258-0.054646373803646446j),Loop measured
87486.93601427527,0.0756378020044797,-53.421681130019,(0.04507415766781773-0.06074040996408883j),Loop measured
91278.92995686902,0.0649482329836805,-59.79824972451193,(0.03267197143245549-0.05613212315973142j),Loop measured
95235.28235931699,0.059659201958478306,-60.9850394696013,(0.028936978574729846-0.05217155977434571j),Loop measured
99363.1170999097,0.04709562432005445,-73.36371058813432,(0.013483255072177677-0.04512426911047202j),Loop measured
103669.8668310765,0.04652179855959484,-82.17988888178172,(0.006329910445317089-0.04608915246534467j),Loop measured
108163.28636275147,0.04982218650302225,-77.79899784184562,(0.010529515177300988-0.048696812812266475j),Loop measured
112851.4666258214,0.04241337732355773,-76.41678729887875,(0.009961092326489172-0.041227068967532j),Loop measured
117742.84924079958,0.044249825066765364,-106.6431406653576,(-0.012673585854075728-0.042396075762253134j),Loop measured
122846.24171795741,0.05155463774098438,-119.6708201172367,(-0.02552038206149918-0.0447949860144999j),Loop measured
128170.83331628353,0.07071640756493396,-168.5961088172533,(-0.06932030647364662-0.013982324888571138j),Loop measured
133726.21158982642,0.007539395741670358,-118.805317860442,(-0.003632744790216133-0.006606485710169566j),Loop measured
139522.37965121437,0.019837736933432076,-108.9094654783582,(-0.006428889018682989-0.01876713064444089j),Loop measured
145569.77418343737,0.02457950882616278,-113.9659713432743,(-0.00998404914755356-0.022460432247725086j),Loop measured
151879.2842323236,0.0378120747874999,-122.5112653006027,(-0.020322682759116303-0.03188638526405592j),Loop measured
158462.27081354838,0.07181991222002529,-153.1407526235308,(-0.06407191588872693-0.032448257050880856j),Loop measured
