ch1,ch2,frequency
2.605717488455898e-08,2.9465631745986624e-08,2891947.612321625
2.6438677412835794e-08,3.0484113595281755e-08,2904663.2698737085
2.6565336154079192e-08,3.127956846919157e-08,2917378.9274257915
2.6628284993115402e-08,3.099201112236996e-08,2930094.584977875
2.6372720479264136e-08,3.0545216110645296e-08,2942810.2425299585
2.6085321573699268e-08,3.019399859812809e-08,2955525.9000820415
2.624383057245157e-08,2.9619857320849467e-08,2968241.557634125
2.614754465609798e-08,2.89820531510952e-08,2980957.2151862085
2.6178655536845784e-08,2.8471676459781178e-08,2993672.8727382915
2.6305305835450355e-08,2.8502722424610252e-08,3006388.530290375
2.6527487511371286e-08,2.824715656973149e-08,3019104.1878424585
2.6335675257426257e-08,2.7673158160463625e-08,3031819.8453945415
2.5666215961799746e-08,2.7767916028150595e-08,3044535.502946625
2.556997029547251e-08,2.8212943563871286e-08,3057251.1604987085
2.56647842696489e-08,2.8594263367425203e-08,3069966.8180507915
2.5727752978252083e-08,2.881635698677987e-08,3082682.475602875
2.5727038693661653e-08,2.8879237741523664e-08,3095398.1331549585
2.5312412087203297e-08,2.8496363293140817e-08,3108113.7907070415
2.4706777925946033e-08,2.8304543268255186e-08,3120829.448259125
2.4706095775632818e-08,2.836743728877428e-08,3133545.1058112085
2.5469499904150425e-08,2.8812371766570167e-08,3146260.7633632915
2.5691651292851177e-08,2.9034431200842965e-08,3158976.420915375
2.5754616140108416e-08,2.8747117891863907e-08,3171692.0784674585
2.581757883011735e-08,2.8459821793002354e-08,3184407.7360195415
2.58168726091469e-08,2.8172542859549947e-08,3197123.393571625
2.5593340138847168e-08,2.813994114768768e-08,3209839.0511237085
2.6133780635021673e-08,2.982625146774093e-08,3222554.7086757915
2.415956145795359e-08,2.8424885878725368e-08,3235270.366227875
2.823313465812525e-08,3.329409115264827e-08,3247986.0237799585
3.071503567284139e-08,3.485281249923453e-08,3260701.6813320415
3.02367820312308e-08,3.517015173106319e-08,3273417.338884125
2.5907448543539645e-08,3.077703039508948e-08,3286132.9964362085
2.472917089188045e-08,2.8930265560771337e-08,3298848.6539882915
2.4951285151309685e-08,2.835662636456241e-08,3311564.311540375
2.520521349690674e-08,2.7464771777563786e-08,3324279.9690924585
2.536365775779054e-08,2.733674029352832e-08,3336995.6266445415
2.5108395023774904e-08,2.771788601483896e-08,3349711.284196625
2.485314719387786e-08,2.7780790653335943e-08,3362426.9417487085
2.4661556956038342e-08,2.819372833941932e-08,3375142.5993007915
2.478818333634995e-08,2.8479363396705012e-08,3387858.256852875
2.5042082932768057e-08,2.8446787982077056e-08,3400573.9144049585
2.5232332668295086e-08,2.8541491051022312e-08,3413289.5719570415
2.494530376557043e-08,2.8668008536707857e-08,3426005.229509125
2.4594656980268132e-08,2.8762703635397658e-08,3438720.8870612085
2.392586679679303e-08,2.84437831334215e-08,3451436.5446132915
2.3988868955747166e-08,2.8411220129286764e-08,3464152.202165375
2.3924610449795068e-08,2.8442289550687218e-08,3476867.8597174585
2.4210308413462052e-08,2.8314289734535117e-08,3489583.5172695415
2.4655057541750997e-08,2.7931794221493387e-08,3502299.174821625
2.4877099660661608e-08,2.770838082408729e-08,3515014.8323737085
2.4494716385872107e-08,2.770765970401897e-08,3527730.4899257915
2.4112354229960728e-08,2.7961423968516465e-08,3540446.147477875
2.3952680817079186e-08,2.8310605481009924e-08,3553161.8050299585
2.4015678805245008e-08,2.7928166875503472e-08,3565877.4625820415
2.439675499595695e-08,2.7386709324014258e-08,3578593.120134125
2.4618776732205437e-08,2.7036124318313464e-08,3591308.7776862085
2.4395498860397494e-08,2.6844590662549527e-08,3604024.4352382915
2.4267650404527292e-08,2.6939318338970667e-08,3616740.092790375
