ch1,ch2,frequency
4.2047152649977185e-08,5.069830659914042e-08,1455078.3089362083
4.134600842418995e-08,5.00604748151346e-08,1467793.9664882915
4.0644914337126614e-08,4.8977439811561014e-08,1480509.624040375
4.023009227914413e-08,4.827611073497296e-08,1493225.2815924583
4.041952639599967e-08,4.8242660537160894e-08,1505940.9391445415
4.099055288808387e-08,4.8336416128694716e-08,1518656.596696625
4.1084554647568656e-08,4.699920415565517e-08,1531372.2542487083
4.117855206365874e-08,4.6806817480853796e-08,1544087.9118007915
4.139973327174634e-08,4.696421355020687e-08,1556803.569352875
4.139832987690627e-08,4.670825390873679e-08,1569519.2269049583
4.107897988609518e-08,4.588000617309238e-08,1582234.8844570415
4.114117916909804e-08,4.6101012206485444e-08,1594950.542009125
4.094903447916451e-08,4.476416191511152e-08,1607666.1995612083
3.9834946729954394e-08,4.504877854456933e-08,1620381.8571132915
3.862556422733971e-08,4.3680267694127374e-08,1633097.514665375
3.9132899044230255e-08,4.4251011754320483e-08,1645813.1722174583
4.084816300073042e-08,4.5711796416381585e-08,1658528.8297695415
3.7223032656139487e-08,4.291297530810274e-08,1671244.487321625
3.690392471636181e-08,4.310225832505307e-08,1683960.1448737083
3.648948415204485e-08,4.3291530849377254e-08,1696675.8024257915
3.6742541377789337e-08,4.37668507588373e-08,1709391.459977875
3.648705322456073e-08,4.34793456543546e-08,1722107.1175299583
3.654940480268706e-08,4.2715130482444705e-08,1734822.7750820415
3.699312650670772e-08,4.2109873386071933e-08,1747538.432634125
3.7277920719445816e-08,4.25216180073474e-08,1760254.0901862083
3.695889822809195e-08,4.277444283320015e-08,1772969.7477382915
3.609967467171602e-08,4.2359917550525934e-08,1785685.405290375
3.546294747886012e-08,4.191364491453092e-08,1798401.0628424583
3.466738508216202e-08,4.111787011578153e-08,1811116.7203945415
3.374477779539578e-08,4.0322149738566136e-08,1823832.377946625
3.298110131610425e-08,3.911342554925273e-08,1836548.0354987083
3.345661029766673e-08,3.923923429973258e-08,1849263.6930507915
3.358260199437191e-08,3.84754314240155e-08,1861979.350602875
3.4502851674855075e-08,3.8982503687888754e-08,1874695.0081549583
3.4374648004834807e-08,3.9298927524935904e-08,1887410.6657070415
3.453237100872602e-08,3.939295312862949e-08,1900126.323259125
